Year,WHEAT_ACRES_PLANTED,WHEAT_BUSHELS_PRODUCED,WHEAT_PRICE_RECIEVED_USD_BUSHEL
2020,44655000,,4.8625
2019,45507000,1940448333,4.729230769
2018,47658333.33,1881129333,5.144285714
2017,46055500,1746623333,4.457142857
2016,49837500,2296725333,4.093571429
2015,55183000,2115288333,5.248571429
2014,56328000,2015883667,6.308571429
2013,56338000,2120902333,7.284285714
2012,55601000,2248209333,7.610714286
2011,54277000,1993111000,7.422857143
2010,52620000,2163023000,5.157142857
2009,59017000,2208918000,5.272857143
2008,63617000,2511896000,7.930714286
2007,60460000,2051088000,5.810714286
2006,57334000,1808416000,4.049285714
2005,57214000,2103325000,3.363571429
2004,59644000,2156790000,3.556428571
2003,62141000,2344415000,3.442142857
2002,60318000,1605878000,3.417142857
2001,59432000,1947453000,2.826428571
2000,62549000,2228160000,2.572142857
