Year,Expt,Location,plot,rep,variety_num,variety,mngmt,management,weight_lbs,Percent_Moisture,Yield_bushels_acre,Yield_kg_hect,Test_weight_lbs_bu,Test_weight_kg_hL,seed_weight_250g,TKW_g,Height_in,Lodging,Stripe_Rust_DI,Stripe_Rust_DS,Stripe_Rust_DX,FHB_DI,FHB_DS,FHB_DX,DON_ppm,Lipps_Madden_1,Lipps_Madden_2
2016,16085,Arlington,107,1,1,Pro 200,1,Current,11.72,15.5,79.16,5323.51,57.8,72.25,7.5,30,44,1,NA,NA,NA,NA,NA,NA,NA,8,10
2016,16085,Arlington,225,2,1,Pro 200,1,Current,13.47,14.4,92.17,6198.4325,53,66.25,6.3,25.2,42,3,NA,NA,NA,NA,NA,NA,NA,9,10
2016,16085,Arlington,322,3,1,Pro 200,1,Current,11.16,15.3,75.56,5081.41,56.6,70.75,7.2,28.8,35,1,NA,NA,NA,NA,NA,NA,NA,8,8
2016,16085,Arlington,432,4,1,Pro 200,1,Current,12.12,14.5,82.83,5570.3175,55,68.75,7,28,36,1,NA,NA,NA,NA,NA,NA,NA,9,10
2016,16085,Arlington,116,1,1,Pro 200,2,MidLevel,13.29,15.4,89.87,6043.7575,58.7,73.375,7.4,29.6,40,1,NA,NA,NA,NA,NA,NA,NA,8,10
2016,16085,Arlington,206,2,1,Pro 200,2,MidLevel,12,14.5,82.01,5515.1725,59.6,74.5,7.8,31.2,39,1,NA,NA,NA,NA,NA,NA,NA,8,8
2016,16085,Arlington,334,3,1,Pro 200,2,MidLevel,13.95,15.5,94.22,6336.295,59.1,73.875,7.9,31.6,31,1,NA,NA,NA,NA,NA,NA,NA,2,8
2016,16085,Arlington,419,4,1,Pro 200,2,MidLevel,13.21,15.5,89.23,6000.7175,59.4,74.25,7.9,31.6,40,1,NA,NA,NA,NA,NA,NA,NA,8,8
2016,16085,Arlington,131,1,1,Pro 200,3,HighLevel,14.34,15.6,96.74,6505.765,58.4,73,8,32,39,1,NA,NA,NA,NA,NA,NA,NA,8,5
2016,16085,Arlington,229,2,1,Pro 200,3,HighLevel,17.57,16.1,117.83,7924.0675,60.3,75.375,8.2,32.8,40,2,NA,NA,NA,NA,NA,NA,NA,2,5
2016,16085,Arlington,314,3,1,Pro 200,3,HighLevel,16.21,14.9,110.27,7415.6575,58.5,73.125,7.6,30.4,45,4,NA,NA,NA,NA,NA,NA,NA,0,3
2016,16085,Arlington,404,4,1,Pro 200,3,HighLevel,16.58,15.5,111.99,7531.3275,56.1,70.125,7.6,30.4,42,5,NA,NA,NA,NA,NA,NA,NA,8,10
2016,16085,Arlington,102,1,2,Pro 240,1,Current,15.38,15.6,103.76,6977.86,55.6,69.5,8,32,39,1,NA,NA,NA,NA,NA,NA,NA,8,10
2016,16085,Arlington,221,2,2,Pro 240,1,Current,15.76,14.5,107.71,7243.4975,57.5,71.875,8.4,33.6,40,1,NA,NA,NA,NA,NA,NA,NA,0,2
